artifact,introduce_unused_dependency_sum,introduce_unused_dependency_but_import_sum,average_unused_dependency,average_use_transitive_dependency,version_count,use_transitive_dependency_sum,use_dependency_sum
net.colesico.framework:colesico-openapi,0,0,1.3333333333333333,7.166666666666667,7,43,12
net.distilledcode:filevault-oak-reindex-hook,0,0,0.0,0.0,2,0,3
net.hydromatic:eigenbase-xom,0,0,0.0,0.0,2,0,2
net.tirasa.connid.bundles:net.tirasa.connid.bundles.azure,0,0,1.0,2.0,5,8,16
network.oxalis.vefa:peppol-icd,0,0,1.0,0.0,20,0,38
nl.42:spring-boot-starter-csv,0,0,0.058823529411764705,8.705882352941176,18,148,73
nl.hsac:hsac-fitnesse-email,0,0,0.2,1.2,6,6,10
org.antframework.sync:sync,0,0,1.5,0.5,3,1,14
org.apache.servicecomb.pack:omega-spring-cloud-eureka-starter,0,0,0.25,4.25,5,17,4
org.bboxdb:bboxdb,0,0,0.0,1.0,2,1,15
org.commonjava.maven.plugins:monolith-maven-plugin,0,0,0.0,0.0,2,0,8
org.cryptomator:webdav-nio-adapter-servlet,0,0,0.0,0.0,17,0,64
org.eclipse.digitaltwin.basyx:basyx.aasregistry-service-release-kafka-mongodb,1,0,2.5,3.5,3,7,0
org.eclipse.digitaltwin.basyx:basyx.aasrepository-feature-mqtt,0,0,0.0,4.0,3,8,8
org.eclipse.ditto:ditto-model-namespaces,0,0,3.0,0.0,22,0,63
org.eclipse.ditto:ditto-signals-acks-things,0,0,3.0,0.0,13,0,60
org.eclipse.esmf:esmf-aspect-meta-model-interface,1,0,0.8636363636363636,0.13636363636363635,23,3,78
org.graphfoundation.ongdb:ongdb-geequel-slotted-runtime,0,0,8.666666666666666,3.8333333333333335,7,23,0
org.graylog2:syslog4j,0,0,0.0,0.0,14,0,67
org.java-websocket:Java-WebSocket,0,0,0.0,0.0,17,0,10
org.javaruntype:javaruntype,0,0,0.0,0.0,4,0,3
org.jisel:jisel,0,0,0.0,0.0,3,0,2
org.jmdware:s3-bucket-recursor,0,0,0.0,1.0,2,1,3
org.jpmml:jpmml-codemodel,0,0,0.0,0.0,10,0,18
org.jsmart:rest-bdd-zerocode,0,0,1.0,2.0,2,2,14
org.kiwiproject:retrying-again,0,0,1.5714285714285714,0.0,29,0,33
org.kquiet:hecate,0,0,2.0,15.666666666666666,4,47,3
org.liurb.ai.sdk:java-ai-sdk,1,0,0.16666666666666666,0.0,7,0,24
org.mapdb:mapdb-hz-offheap,0,0,0.0,0.0,2,0,3
org.mule.services:mule-service-oauth,0,0,0.0,0.0,3,0,12
org.reaktivity:nukleus-auth-jwt.spec,0,0,0.05263157894736842,2.3684210526315788,20,45,20
org.reaktivity:nukleus-flow.spec,0,0,1.1666666666666667,1.3333333333333333,19,24,2
org.reaktivity:nukleus-http2.spec,1,0,0.6,0.7466666666666667,76,56,187
org.sentrysoftware.maven:maven-skin-tools,0,0,1.3333333333333333,0.6666666666666666,4,2,9
org.skife.vmware:vmrun-java-wrapper,0,0,0.0,0.0,2,0,1
org.slieb:html-exception-formatter,1,0,1.0,0.0,4,0,9
org.terrakube.terraform:terraform-spring-boot-autoconfigure,0,0,1.0,0.0,18,0,68
org.tickcode:BroadcastingInterfaces,0,0,0.0,0.0,3,0,12
org.zkoss:zkgooglecharts,0,0,1.0,0.0,13,0,36
se.bjornblomqvist:jarinstaller,0,0,0.0,0.0,2,0,1
se.sawano.eureka:legacy-registrar,0,0,0.0,10.8,6,54,20
sh.tak.appbundler:appbundle-maven-plugin,0,0,0.5714285714285714,0.8571428571428571,8,6,35
tech.energyit:fast-java-statsd-client,0,0,0.0,0.0,6,0,4
top.continew:continew-starter-api-doc,0,0,0.0,3.8,11,38,14
top.continew:continew-starter-security-crypto,0,0,0.0,0.0,11,0,30
uk.co.modular-it:bean-utils,0,0,0.0,0.0,9,0,40
