artifact_id, repo_path
"org.reaktivity:nukleus-auth-jwt.spec","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.reaktivity:nukleus-auth-jwt.spec"
"ru.greatbit:transitive-dependency-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ru.greatbit:transitive-dependency-maven-plugin"
"com.github.tcl-ec:tclsms","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.tcl-ec:tclsms"
"com.github.hazendaz.maven:smartsprites-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.hazendaz.maven:smartsprites-maven-plugin"
"com.lahsivjar:gcp-storage-wagon","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.lahsivjar:gcp-storage-wagon"
"com.contrastsecurity:cassandra-migration","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.contrastsecurity:cassandra-migration"
"org.parttio:canvas-java","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.parttio:canvas-java"
"org.liurb.ai.sdk:java-ai-sdk","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.liurb.ai.sdk:java-ai-sdk"
"me.shakiba.jsonrpc:jsonrpc","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/me.shakiba.jsonrpc:jsonrpc"
"com.omertron:themoviedbapi","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.omertron:themoviedbapi"
"com.wandrell.tabletop:stats","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.wandrell.tabletop:stats"
"io.github.ci-cmg.cruise-pack:cruise-pack","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.ci-cmg.cruise-pack:cruise-pack"
"com.plugatar.xteps2:xteps2-selenide","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.plugatar.xteps2:xteps2-selenide"
"org.jodah:concurrentunit","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.jodah:concurrentunit"
"com.stenway:wsv","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.stenway:wsv"
"at.yawk.numaec:numa-eclipse-collections","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/at.yawk.numaec:numa-eclipse-collections"
"com.integralblue:httpresponsecache","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.integralblue:httpresponsecache"
"com.securionpay:securionpay-java","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.securionpay:securionpay-java"
"org.kquiet:hecate","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.kquiet:hecate"
"to.lova.jaxrs:jaxrs-range-filter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/to.lova.jaxrs:jaxrs-range-filter"
"io.github.xkitsios:mix-piece_sim-piece","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.xkitsios:mix-piece_sim-piece"
"io.bspk:httpsig","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.bspk:httpsig"
"io.cloudslang.content:score-rft","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.cloudslang.content:score-rft"
"org.jpmml:jpmml-codemodel","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.jpmml:jpmml-codemodel"
"org.cryptomator:webdav-nio-adapter-servlet","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.cryptomator:webdav-nio-adapter-servlet"
"org.javaruntype:javaruntype","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.javaruntype:javaruntype"
"top.continew:continew-starter-api-doc","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/top.continew:continew-starter-api-doc"
"io.github.rctcwyvrn:blake3","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.rctcwyvrn:blake3"
"uk.co.modular-it:bean-utils","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/uk.co.modular-it:bean-utils"
"com.ttulka.spring.boot.configstore:configuration-properties-store-jdbc-spring-boot-starter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.ttulka.spring.boot.configstore:configuration-properties-store-jdbc-spring-boot-starter"
